Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
15,3,3,3,3,3,2,3,3,3,3,3,3,8,3,3
16,12,12,12,13,12,12,12,13,13,12,12,12,14,13,12
17,2,2,2,2,2,3,2,2,2,2,2,1,6,1,2
18,9,9,11,9,8,7,7,7,7,7,10,9,2,10,9
19,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4
20,14,15,15,15,14,15,15,15,14,14,15,15,15,15,15
21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,10,11,9,10,10,8,10,11,11,8,8,10,12,8,10
23,11,8,8,8,9,9,9,8,9,10,9,8,11,9,8
24,8,10,10,11,11,11,11,10,10,11,11,11,4,12,11
25,15,14,14,14,15,14,14,14,15,15,14,14,13,14,14
26,13,13,13,12,13,13,13,12,12,13,13,13,3,11,13
27,1,1,1,1,1,1,1,1,1,1,1,2,7,2,1
28,6,7,7,7,6,10,8,9,8,9,7,7,1,7,7
29,7,6,6,6,7,6,6,6,6,6,6,6,10,6,6
