Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
270,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1
271,6,6,8,5,7,7,5,5,5,6,6,6,6,6,6
272,3,3,3,3,2,2,3,3,2,3,7,3,3,3,3
273,2,2,2,2,3,3,2,2,3,2,9,2,2,2,2
274,4,4,4,4,4,4,4,4,4,4,12,4,4,4,4
275,12,14,11,9,8,8,9,10,9,9,11,9,9,9,9
276,9,10,9,10,10,10,11,11,11,10,5,11,11,11,10
277,14,11,14,14,14,14,14,14,14,15,14,13,14,14,14
278,15,15,15,15,15,15,15,15,15,14,3,15,15,15,15
279,11,12,12,12,13,13,13,13,13,12,2,14,13,12,13
280,10,9,10,11,11,11,10,9,10,11,13,10,10,10,11
281,13,13,13,13,12,12,12,12,12,13,10,12,12,13,12
282,5,5,7,6,9,9,6,6,6,5,4,5,5,5,5
283,8,8,5,8,5,5,8,8,7,8,8,7,7,7,7
284,7,7,6,7,6,6,7,7,8,7,1,8,8,8,8
