Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
165,14,13,14,14,14,13,12,12,12,15,13,13,14,14,14
166,13,14,13,13,13,12,14,13,14,13,12,12,13,12,12
167,8,8,8,9,8,7,8,8,8,7,9,9,8,9,9
168,6,6,6,4,6,5,4,6,6,6,6,6,6,3,3
169,10,9,10,11,9,10,9,9,9,11,11,11,10,11,11
170,5,5,5,7,5,4,5,5,5,4,4,5,5,6,6
171,3,3,3,6,3,2,2,2,2,2,3,3,3,4,4
172,15,15,15,15,15,15,13,15,13,10,15,15,15,15,15
173,11,11,11,12,11,8,11,11,11,8,8,7,11,10,10
174,12,12,12,5,12,14,15,14,15,14,14,14,12,13,13
175,4,4,4,3,4,6,6,4,4,9,5,4,4,5,5
176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2
178,9,10,9,10,10,11,10,10,10,12,10,10,9,7,7
179,7,7,7,8,7,9,7,7,7,5,7,8,7,8,8
