Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
45,3,3,3,3,3,3,3,7,3,3,3,3,3,2,3
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,12,13,15,15,12,11,14,15,15,12,13,14,13,13,14
48,8,8,8,8,8,8,9,10,8,11,10,12,12,11,12
49,14,15,13,12,14,14,12,12,11,14,8,9,8,8,8
50,15,14,12,14,15,15,15,14,14,15,,15,,15,15
51,9,9,9,9,9,9,8,8,9,9,12,11,15,12,11
52,7,7,7,11,6,7,7,6,7,7,7,6,7,6,7
53,5,6,4,4,7,4,4,3,4,4,4,4,4,4,4
54,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2
55,13,12,14,13,13,13,13,13,13,13,14,13,14,14,13
56,11,4,5,5,5,5,6,5,5,6,5,5,5,5,5
57,6,5,6,7,4,6,5,4,6,5,6,7,6,7,6
58,10,10,10,10,10,10,11,9,10,10,9,8,10,9,9
59,2,11,11,6,11,12,10,11,12,8,11,10,9,10,10
