Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
90,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
91,8,8,8,8,9,6,8,7,6,6,5,7,4,4,5
92,6,5,6,7,6,9,7,8,7,7,6,15,5,5,4
93,2,2,1,2,2,4,2,2,2,3,2,2,2,2,2
94,4,6,4,4,4,2,5,4,4,4,4,4,7,7,8
95,14,14,14,15,15,13,13,14,13,13,14,13,14,14,14
96,3,3,3,3,3,5,3,3,3,2,3,3,3,3,3
97,5,4,5,5,5,3,4,6,9,8,7,5,6,6,9
98,9,9,9,9,8,8,9,9,8,9,9,8,9,8,6
99,10,10,10,10,10,12,10,10,12,12,10,9,10,10,7
100,7,7,7,6,7,7,6,5,5,5,8,6,8,9,10
101,15,15,15,14,13,15,15,15,14,15,15,14,15,15,15
102,12,12,12,12,12,11,11,11,10,10,12,11,12,12,12
103,13,13,13,13,14,14,14,13,15,14,13,12,13,13,13
104,11,11,11,11,11,10,12,12,11,11,11,10,11,11,11
