Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
0,5,5,5,5,5,5,5,7,7,3,5,5,5,5,5
1,2,2,2,2,2,2,2,2,2,8,2,2,3,2,2
2,15,15,15,15,15,12,15,8,13,4,14,12,12,10,12
3,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1
4,14,14,14,13,14,15,14,6,5,5,15,14,14,14,15
5,10,9,9,6,9,7,9,11,11,9,9,9,10,,9
6,4,4,4,3,4,4,4,4,6,1,4,4,4,4,4
7,13,10,10,11,10,9,10,9,10,6,10,10,9,11,10
8,6,6,6,7,6,6,6,5,4,2,7,6,6,6,6
9,9,13,11,8,12,11,11,12,12,10,11,11,11,7,11
10,3,3,3,4,3,3,3,3,3,12,3,3,2,3,3
11,7,7,7,9,7,10,8,13,8,15,6,7,7,8,7
12,8,8,8,10,8,8,7,10,9,7,8,8,8,9,8
13,12,12,12,12,13,13,12,14,14,13,12,15,15,13,14
14,11,11,13,14,11,14,13,15,15,14,13,13,13,12,13
