Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
150,6,6,6,6,3,6,7,6,6,6,9,6,6,6,6
151,3,3,3,5,4,5,3,5,3,4,6,5,4,5,4
152,13,14,13,13,13,12,14,13,13,13,13,12,14,12,12
153,12,11,12,12,9,13,12,12,12,12,11,13,8,13,13
154,11,7,10,10,2,10,10,11,10,11,8,11,9,11,11
155,4,2,4,3,8,3,5,3,5,3,4,3,3,3,3
156,9,9,11,9,11,8,8,9,8,7,3,9,12,9,9
157,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15
158,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
159,5,4,5,4,5,4,4,4,4,5,7,4,5,4,5
160,10,8,8,8,10,7,9,8,9,9,2,8,11,8,8
161,8,12,9,11,12,11,11,10,11,10,12,10,10,10,10
162,2,5,2,2,7,2,2,2,2,2,5,2,2,2,2
163,7,10,7,7,1,9,6,7,7,8,10,7,7,7,7
164,14,13,14,14,15,14,13,14,14,14,14,14,13,14,14
