Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
75,13,13,3,9,11,10,10,11,9,12,,9,4,4,7
76,9,9,10,3,8,15,12,9,7,9,,12,9,12,8
77,11,12,9,11,9,6,7,5,12,10,,7,7,6,4
78,15,15,15,15,15,14,13,14,13,15,,14,15,15,15
79,7,4,6,10,5,4,14,12,10,13,82,6,11,11,13
80,6,8,7,13,10,9,11,10,4,5,,4,13,8,11
81,14,14,14,14,14,13,15,15,15,14,,15,14,14,14
82,2,2,1,1,2,2,2,2,1,1,,1,2,2,2
83,1,1,2,2,1,1,1,1,2,2,,2,1,1,1
84,4,5,12,7,6,12,8,7,11,7,,10,5,5,5
85,3,3,4,4,3,3,3,3,3,4,,3,3,3,3
86,5,7,8,6,4,5,5,8,8,6,,5,12,13,10
87,12,11,5,8,12,8,4,4,5,3,,11,10,9,12
88,10,10,11,12,7,7,6,6,6,8,,8,8,7,6
89,8,6,13,5,13,11,9,13,14,11,,13,6,10,9
