Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
225,13,13,14,,11,15,8,12,9,12,10,10,8,8,7
226,6,15,15,15,15,13,11,15,15,13,15,14,15,15,15
227,11,12,11,13,13,9,9,14,14,14,13,,12,12,13
228,2,1,1,1,1,2,14,8,2,1,1,11,1,1,1
229,10,8,3,10,10,10,6,6,10,4,2,4,5,2,6
230,3,4,5,6,5,7,2,10,5,6,4,1,2,6,2
231,8,6,6,14,6,5,5,4,7,7,8,7,9,9,9
232,4,5,7,5,4,14,7,1,4,3,3,2,4,5,4
233,1,2,12,2,2,1,4,2,1,10,5,3,3,3,3
234,14,11,13,11,8,11,15,13,11,11,9,6,7,7,8
235,9,9,8,7,7,12,13,5,12,15,7,5,6,10,11
236,12,10,9,12,12,8,1,7,6,8,12,12,11,14,14
237,5,14,10,3,14,3,10,9,13,9,14,13,14,13,12
238,15,7,4,9,9,6,12,11,8,5,11,9,10,11,10
239,7,3,2,4,3,4,3,3,3,2,6,8,13,4,5
