Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
90,15,1,2,,15,15,15,15,2,15,15,15,15,11,15
91,14,5,11,,14,12,14,14,5,13,13,13,13,12,13
92,1,9,12,6,6,6,2,10,6,8,8,9,10,7,10
93,11,2,8,,11,11,13,12,1,12,11,14,14,13,14
94,13,4,9,,12,14,12,13,4,14,14,11,11,14,11
95,10,15,13,,10,9,7,5,14,5,3,5,6,2,4
96,2,3,3,7,7,5,10,8,3,7,10,3,2,6,6
97,5,6,4,8,8,3,5,4,7,3,7,7,8,8,7
98,4,8,1,3,4,2,3,2,9,4,6,8,4,9,8
99,6,10,15,4,3,7,8,7,10,9,2,4,5,10,3
100,12,7,10,,13,13,11,11,8,11,12,12,12,15,12
101,9,14,14,2,1,1,1,1,15,2,1,1,3,3,2
102,3,12,6,1,2,8,6,3,12,1,4,2,1,1,1
103,7,13,5,5,5,4,4,6,13,6,9,10,7,4,5
104,8,11,7,,9,10,9,9,11,10,5,6,9,5,9
