Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
210,13,11,11,11,11,12,11,11,13,14,13,11,,11,10
211,1,1,1,2,1,2,2,3,1,2,1,1,2,1,1
212,11,4,12,13,12,9,12,13,11,11,4,12,,12,11
213,5,7,6,3,4,6,6,6,6,6,2,8,9,6,3
214,8,5,7,1,6,3,3,5,2,3,7,6,3,4,5
215,7,8,4,5,7,7,8,7,9,5,11,9,4,7,6
216,6,9,8,8,9,1,5,4,5,1,5,3,1,3,2
217,4,6,5,6,3,8,10,10,10,7,10,5,5,8,9
218,2,2,3,7,2,4,4,2,4,8,3,4,6,5,8
219,3,3,2,4,5,11,1,1,3,9,6,2,7,2,4
220,12,13,13,12,14,15,14,12,12,13,15,14,,13,14
221,10,12,10,9,8,14,9,8,8,10,8,7,8,10,15
222,15,15,15,15,15,13,15,15,15,15,12,15,,15,13
223,14,14,14,14,13,10,13,14,14,12,14,13,,14,12
224,9,10,9,10,10,5,7,9,7,4,9,10,10,9,7
