Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,4,9,8,8,8,5,3,15,8,7,4,5,7,7,5
92,5,8,7,9,9,4,12,5,7,8,5,4,4,8,6
93,2,2,2,2,2,7,15,2,2,2,2,2,2,2,2
94,8,6,4,4,4,8,6,7,4,4,8,8,5,4,8
95,13,14,14,14,14,15,9,13,14,14,14,15,15,15,14
96,3,3,3,3,3,6,13,3,3,3,3,3,3,3,3
97,7,4,6,5,6,2,7,6,6,6,7,7,6,6,7
98,6,7,9,7,7,3,2,4,9,9,10,6,8,9,4
99,10,10,10,10,10,12,4,9,12,12,9,12,10,10,10
100,9,5,5,6,5,9,5,8,5,5,11,9,9,5,9
101,15,15,15,15,15,13,8,10,15,15,15,14,14,14,15
102,12,12,12,12,12,10,11,14,10,11,6,10,12,12,12
103,14,13,13,13,13,14,14,12,13,13,13,13,13,13,13
104,11,11,11,11,11,11,10,11,11,10,12,11,11,11,11
