Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
240,7,3,3,4,4,4,5,14,8,8,3,3,3,3,3
241,3,11,11,11,11,11,14,3,13,12,11,11,10,11,7
242,14,13,14,14,14,14,12,5,2,14,14,14,14,13,13
243,11,9,9,9,9,9,9,8,3,3,10,9,6,8,12
244,9,5,6,7,7,7,7,9,7,9,7,7,8,7,6
245,6,10,7,3,3,3,2,12,5,4,4,4,9,4,5
246,5,6,8,8,8,8,10,7,4,2,9,8,7,14,14
247,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1
248,2,2,2,2,2,2,3,13,9,7,2,2,2,2,2
249,10,8,5,6,5,5,6,11,6,5,5,5,4,5,4
250,15,15,15,15,15,15,11,1,15,15,15,15,15,15,11
251,8,4,4,5,6,6,4,10,10,6,6,6,5,6,15
252,12,12,12,12,12,12,13,2,12,13,12,12,11,9,9
253,4,7,10,10,10,10,8,6,14,11,8,10,13,10,10
254,13,14,13,13,13,13,15,4,11,10,13,13,12,12,8
