Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
225,6,3,14,14,15,14,14,11,13,13,12,14,10,14,14
226,8,10,7,6,13,8,6,7,12,10,7,8,8,8,8
227,5,7,8,5,10,5,5,6,14,5,4,5,4,4,5
228,4,13,3,4,4,4,4,12,15,6,11,4,6,7,4
229,9,12,9,10,9,9,9,5,7,8,10,10,9,10,10
230,3,6,4,3,3,3,3,3,2,2,3,3,3,3,3
231,2,1,2,2,2,2,2,13,3,14,2,2,2,2,2
232,10,8,11,11,8,11,11,10,9,7,9,11,13,11,11
233,15,4,15,15,7,15,15,1,6,15,15,15,12,15,15
234,12,11,10,9,11,10,10,9,10,9,8,9,11,9,9
235,13,15,13,12,14,13,12,15,11,11,13,12,15,12,12
236,11,9,6,8,6,7,7,8,4,4,6,7,7,6,7
237,7,5,5,7,5,6,8,4,5,3,5,6,5,5,6
238,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
239,14,14,12,13,12,12,13,14,8,12,14,13,14,13,13
