Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
105,7,2,15,3,2,2,14,10,2,15,15,3,12,11,12
106,3,1,14,5,1,1,1,1,1,5,1,1,4,6,1
107,9,8,6,10,9,10,5,13,9,10,9,10,11,15,11
108,10,15,13,9,10,3,12,9,3,14,6,2,10,10,4
109,8,6,5,7,7,8,8,12,8,8,10,7,9,8,7
110,15,14,11,13,15,15,15,4,15,3,3,14,5,2,14
111,12,10,9,11,11,12,6,14,14,7,12,12,14,4,10
112,5,9,8,6,5,4,10,11,5,12,8,6,7,13,6
113,6,3,12,4,3,6,11,8,4,13,7,5,6,12,5
114,13,11,10,12,12,13,13,15,13,6,13,11,13,5,9
115,2,12,1,2,13,11,2,3,11,2,2,13,2,1,2
116,11,5,4,8,6,7,9,7,7,9,11,8,8,9,8
117,4,13,3,14,14,14,4,5,12,4,4,15,1,3,15
118,14,7,7,,8,9,7,6,10,11,14,9,15,14,13
119,1,4,2,1,4,5,3,2,6,1,5,4,3,7,3
