Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
0,2,3,5,2,2,5,5,5,5,7,3,4,3,3,3
1,3,2,2,3,3,2,3,2,2,2,2,2,2,1,2
2,15,15,15,15,15,14,14,14,14,14,14,14,10,14,14
3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
4,13,10,13,13,9,15,15,15,15,15,15,15,15,15,15
5,11,11,9,10,11,11,10,10,9,11,9,10,8,10,11
6,5,4,4,5,5,4,4,4,4,5,4,5,4,4,5
7,10,8,12,9,10,8,8,9,8,9,8,8,11,9,6
8,8,5,7,7,7,6,6,6,6,6,6,7,13,6,7
9,12,12,10,11,12,10,11,13,11,12,11,12,9,11,10
10,4,9,3,4,4,3,2,3,3,3,5,3,5,5,4
11,7,6,6,6,6,9,9,8,10,10,7,6,6,7,8
12,9,7,8,8,8,7,7,7,7,8,10,9,7,8,9
13,14,14,11,12,13,12,12,11,12,13,13,11,12,12,12
14,6,13,14,14,14,13,13,12,13,4,12,13,14,13,13
