Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
30,4,2,5,2,2,2,3,4,6,3,2,2,3,2,2
31,2,3,6,3,5,3,4,5,8,4,4,3,1,3,3
32,11,10,12,7,8,8,6,14,15,10,6,11,6,6,11
33,13,13,3,13,10,13,14,15,3,13,14,15,13,14,14
34,14,14,2,14,14,14,13,13,2,14,13,14,14,13,13
35,6,11,11,12,13,9,9,7,14,8,9,8,10,9,6
36,3,5,7,5,4,4,2,3,5,2,3,4,4,5,4
37,12,7,15,8,9,11,11,12,12,12,10,12,11,11,9
38,8,12,14,11,12,12,12,10,11,9,11,13,12,10,10
39,7,4,9,6,7,6,7,8,9,7,8,7,8,8,8
40,9,6,8,4,6,5,5,6,7,5,5,6,5,4,5
41,10,8,13,9,11,10,8,11,13,11,12,10,7,12,12
42,5,9,10,10,15,7,10,9,10,6,7,9,9,7,7
43,1,1,4,1,1,1,1,1,4,1,1,1,2,1,1
44,15,15,1,15,3,15,15,2,1,15,15,5,15,15,15
