Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
285,9,13,10,12,9,13,15,14,14,12,8,11,9,12,8
286,12,6,13,14,5,14,4,6,8,11,14,14,14,8,14
287,4,5,9,4,13,3,2,3,3,3,5,5,5,5,11
288,3,2,6,3,2,4,3,4,4,4,2,4,4,2,10
289,14,7,8,8,8,2,6,2,2,1,6,2,3,9,5
290,2,3,5,2,3,9,7,8,7,6,3,3,2,3,2
291,11,14,12,13,12,10,12,10,5,13,7,10,10,11,7
292,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
293,7,10,14,11,14,5,14,13,13,14,10,8,6,6,3
294,8,9,3,10,11,6,13,12,12,5,9,7,7,7,4
295,6,12,4,6,10,11,11,7,10,9,12,13,12,14,12
296,15,15,15,15,15,15,9,15,15,15,15,15,15,15,15
297,13,11,7,9,7,7,8,9,6,7,11,9,11,10,6
298,10,4,11,7,4,12,5,5,9,10,13,12,13,13,13
299,5,8,2,5,6,8,10,11,11,8,4,6,8,4,9
