Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
15,15,15,15,15,15,12,12,13,12,8,9,6,15,9,15
16,7,7,6,7,3,5,6,6,6,5,7,9,7,7,7
17,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2
18,11,10,10,11,11,10,11,15,11,12,10,10,10,10,11
19,3,3,7,3,7,3,3,2,3,3,3,3,3,4,3
20,5,5,3,5,6,4,5,10,5,4,8,8,5,8,5
21,8,8,11,8,8,8,8,9,9,9,13,13,11,13,8
22,13,13,13,13,13,14,14,12,14,13,14,14,12,14,12
23,4,4,4,4,5,7,4,4,4,7,4,4,4,5,4
24,10,11,9,10,10,9,8,7,8,11,12,12,8,12,9
25,14,14,14,14,14,13,13,14,13,15,15,15,14,15,14
26,6,6,5,6,4,6,7,5,7,6,6,7,6,6,6
27,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
28,9,9,8,9,9,11,10,9,10,10,11,11,9,11,10
29,12,12,12,12,12,15,15,11,15,14,5,5,13,1,13
