Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
120,11,15,15,15,15,10,15,15,14,15,15,15,15,15,15
121,9,10,9,10,12,15,14,7,15,6,8,10,10,10,10
122,5,5,5,5,7,6,12,4,6,3,1,5,5,5,5
123,15,13,14,14,13,9,13,13,9,13,14,14,14,14,14
124,6,6,6,6,10,11,10,8,10,8,6,8,8,9,8
125,8,8,8,8,9,12,9,10,11,9,7,7,7,7,7
126,1,3,1,3,1,2,2,1,2,2,3,2,2,2,2
127,2,1,2,1,2,5,4,6,5,5,5,3,3,3,3
128,14,12,11,12,8,7,6,9,7,12,11,12,12,12,12
129,3,2,3,2,3,3,3,2,3,1,4,1,1,1,1
130,4,4,4,4,4,4,5,3,4,4,2,4,4,4,4
131,7,7,7,7,11,13,8,11,12,10,10,6,6,6,6
132,13,14,13,13,6,1,1,5,1,11,12,11,11,11,11
133,10,9,10,9,14,14,11,14,13,7,9,9,9,8,9
134,12,11,12,11,5,8,7,12,8,14,13,13,13,13,13
