Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
135,7,14,7,5,7,6,6,4,6,9,4,7,8,7,7
136,13,10,15,13,13,14,14,14,14,3,12,13,9,12,12
137,4,7,4,4,4,5,4,6,5,6,6,5,6,5,5
138,3,5,3,3,3,3,3,3,4,2,2,2,2,2,2
139,9,15,10,10,9,10,10,8,10,15,10,10,14,10,10
140,11,11,14,15,12,13,13,13,13,13,13,14,11,13,13
141,14,9,13,12,11,11,11,11,11,11,11,11,4,11,11
142,2,4,2,2,2,2,2,2,2,4,3,3,3,3,3
143,10,13,9,9,10,8,8,9,8,10,9,9,13,9,9
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,8,8,8,8,8,9,9,10,9,8,8,8,15,8,8
146,12,12,12,14,14,15,15,15,15,14,15,15,12,15,15
147,6,3,6,6,6,7,7,5,7,7,7,6,7,6,6
148,5,6,5,7,5,4,5,7,3,5,5,4,5,4,4
149,15,2,11,11,15,12,12,12,12,12,14,12,10,14,14
