Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
45,7,8,7,3,4,3,10,6,6,6,4,9,6,3,3
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,10,9,10,10,10,12,11,12,11,10,12,12,3,5,15
48,13,15,15,14,14,13,13,14,14,13,14,13,14,13,9
49,9,12,9,9,12,11,9,11,9,9,10,11,13,6,14
50,8,4,8,4,8,7,6,7,7,7,7,7,12,9,11
51,14,14,14,13,15,15,15,15,15,15,15,15,15,14,7
52,5,5,5,7,5,6,4,4,4,3,3,4,10,10,4
53,15,13,13,15,13,14,14,13,13,14,13,14,4,15,8
54,2,2,2,2,2,2,2,2,2,2,2,2,7,4,2
55,3,3,3,5,3,8,7,8,8,8,8,6,5,7,10
56,4,6,6,6,6,5,3,3,3,5,5,3,9,8,5
57,6,7,4,8,7,4,5,5,5,4,6,5,2,2,6
58,11,11,12,12,11,9,12,9,10,11,11,10,11,12,13
59,12,10,11,11,9,10,8,10,12,12,9,8,8,11,12
