Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
150,3,3,2,2,3,2,3,3,2,3,2,2,4,5,6
151,9,7,8,7,9,8,8,8,8,8,7,7,8,11,7
152,10,10,10,10,10,10,10,11,11,11,10,10,7,9,10
153,14,12,15,12,15,15,14,15,14,15,14,13,13,14,15
154,15,15,14,15,14,14,15,14,15,14,6,14,14,15,14
155,8,8,9,8,8,9,9,9,9,9,9,9,10,10,9
156,12,13,12,13,13,13,13,13,13,13,13,15,15,6,13
157,6,5,6,6,6,5,5,5,4,5,15,6,6,7,5
158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,7,9,7,9,7,7,7,7,7,7,11,11,11,8,11
160,13,14,13,14,12,12,12,12,12,12,12,12,12,13,12
161,5,6,5,5,5,3,2,2,5,4,3,3,3,2,2
162,2,2,4,3,2,4,4,4,3,2,5,5,5,4,4
163,4,4,3,4,4,6,6,6,6,6,4,4,2,3,3
164,11,11,11,11,11,11,11,10,10,10,8,8,9,12,8
