Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
105,3,3,2,2,3,4,4,4,4,2,2,2,2,2,2
106,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1
107,11,11,10,10,11,11,11,13,11,13,11,11,11,11,10
108,4,4,3,3,4,7,7,5,5,3,3,3,3,3,3
109,9,9,8,8,9,9,9,10,10,10,10,10,10,10,8
110,15,15,15,15,15,14,15,15,14,14,14,15,14,15,15
111,12,12,13,12,12,13,12,11,12,11,12,12,12,12,13
112,6,6,6,6,6,6,6,7,7,6,5,6,7,6,5
113,5,5,4,4,5,5,5,6,6,4,4,4,4,4,4
114,13,13,12,13,13,12,13,12,13,12,13,13,13,13,12
115,8,8,11,11,7,2,2,2,2,8,7,8,6,7,11
116,7,7,7,7,8,8,8,9,9,7,9,9,9,8,7
117,14,14,14,14,14,15,14,14,15,15,15,14,15,14,14
118,10,10,9,9,10,10,10,8,8,9,8,7,8,9,9
119,2,2,5,5,2,1,1,1,1,5,6,5,5,5,6
