Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
30,4,4,4,4,4,4,4,4,6,6,4,3,4,4,4
31,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6
32,13,11,13,13,13,13,12,13,13,12,13,12,13,13,13
33,11,13,11,11,12,14,13,12,12,13,12,11,12,11,12
34,7,7,8,7,7,10,7,10,7,7,8,7,7,8,8
35,9,9,10,9,9,8,9,8,9,9,9,9,9,9,9
36,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
37,14,14,14,14,14,12,14,14,14,14,14,13,14,14,14
38,12,12,12,12,11,7,11,7,11,10,11,10,11,12,11
39,10,10,7,10,10,11,10,11,10,11,10,15,10,10,10
40,5,5,5,5,5,5,5,5,4,4,5,2,5,5,5
41,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15
42,8,8,9,8,8,9,8,9,8,8,7,8,8,7,7
43,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
