Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
0,6,5,5,5,5,11,5,5,6,5,5,5,5,5,5
1,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2
2,13,14,14,14,14,10,14,14,14,14,14,14,14,14,14
3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
4,14,15,15,15,15,14,15,15,15,2,15,11,15,15,15
5,10,10,10,10,10,6,10,10,10,10,10,10,10,10,10
6,4,4,4,4,4,8,4,4,4,5,4,4,4,4,4
7,5,9,8,9,9,9,9,9,9,9,9,9,9,9,9
8,7,6,6,6,6,13,6,6,6,7,6,6,6,6,6
9,12,12,11,12,12,12,11,13,12,12,13,12,13,11,13
10,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3
11,15,7,9,7,7,15,7,8,7,15,7,8,8,8,8
12,9,8,7,8,8,7,8,7,8,8,8,7,7,7,7
13,8,11,12,11,11,5,12,11,11,11,11,15,11,12,11
14,11,13,13,13,13,1,13,12,13,13,12,13,12,13,12
