Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
45,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
48,9,9,9,9,9,10,9,9,9,9,8,8,9,8,8
49,11,11,12,12,12,11,10,12,12,10,12,12,5,12,12
50,14,13,11,14,14,12,14,13,14,13,14,14,14,14,14
51,8,8,8,8,8,9,8,8,8,8,9,9,10,9,9
52,6,7,5,6,5,6,7,7,7,7,5,5,8,5,5
53,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4
54,2,2,2,2,2,3,4,4,2,4,2,2,2,2,2
55,13,14,14,13,13,13,12,11,13,12,13,13,13,13,13
56,5,5,7,5,7,7,5,5,5,5,7,7,6,7,7
57,7,6,6,7,6,8,6,6,6,6,6,6,7,6,6
58,10,10,10,10,10,14,13,14,11,14,10,10,11,10,10
59,12,12,13,11,11,5,11,10,10,11,11,11,12,11,11
