Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
150,5,6,6,4,5,6,6,6,6,6,6,6,6,6,9
151,3,5,5,3,3,5,5,5,5,5,5,5,5,5,3
152,12,12,12,12,12,13,12,13,12,12,12,13,13,12,10
153,13,13,13,13,14,12,13,12,13,13,13,12,12,11,13
154,8,11,11,8,7,8,8,8,11,8,11,9,9,13,6
155,4,3,3,6,4,3,3,3,3,3,3,3,3,3,4
156,10,10,10,11,10,10,10,10,9,10,9,10,10,9,12
157,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,7,4,4,5,8,4,4,4,4,4,4,4,4,4,5
160,11,9,9,10,11,11,11,11,8,11,10,11,11,10,11
161,9,8,8,9,9,9,9,9,10,9,8,8,8,8,7
162,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
163,6,7,7,7,6,7,7,7,7,7,7,7,7,7,8
164,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14
