Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
15,3,3,3,4,4,3,3,2,2,3,3,3,3,4,2
16,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13
17,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3
18,9,9,9,9,10,11,11,9,9,11,9,9,9,7,9
19,4,4,4,7,5,4,4,4,4,4,4,4,4,12,4
20,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15
21,5,5,5,5,6,5,5,5,5,5,5,5,5,8,5
22,11,11,11,11,11,9,7,11,11,9,10,10,10,5,11
23,8,8,8,10,9,10,9,8,8,10,8,8,8,10,8
24,10,10,10,12,12,8,8,10,10,8,11,11,11,11,10
25,14,14,14,14,14,14,15,15,15,15,14,14,14,14,14
26,12,12,12,8,8,12,12,12,12,12,12,12,13,6,12
27,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1
28,7,7,7,1,1,7,6,7,7,6,7,7,7,1,7
29,6,6,6,6,7,6,10,6,6,7,6,6,6,9,6
