Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
15,11,14,3,10,10,13,14,14,13,14,13,3,14,13,3
16,3,5,12,7,4,3,5,11,3,3,3,2,12,4,13
17,1,2,2,2,2,14,1,5,6,5,2,1,2,14,2
18,9,10,6,11,12,10,12,9,11,12,15,4,10,7,7
19,4,4,4,4,6,8,4,1,7,8,5,10,3,12,4
20,15,3,14,3,3,1,6,15,2,6,7,8,15,1,15
21,12,7,11,6,13,12,8,6,9,13,12,12,6,11,11
22,7,12,7,14,9,6,13,12,12,7,8,9,5,6,6
23,6,9,5,12,7,9,2,2,4,1,6,5,4,8,5
24,10,8,8,13,11,5,10,7,8,2,10,11,9,5,9
25,14,15,15,15,15,2,15,13,15,15,14,13,13,2,14
26,5,6,13,9,5,4,3,8,5,4,1,6,8,3,12
27,2,1,1,1,1,15,7,10,1,10,4,7,1,15,1
28,13,11,9,8,14,11,9,3,10,11,11,14,11,9,8
29,8,13,10,5,8,7,11,4,14,9,9,15,7,10,10
