Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
255,6,7,6,5,4,6,7,1,7,8,7,5,7,5,7
256,1,1,15,1,,12,10,11,8,1,1,15,8,12,9
257,5,5,8,4,2,13,13,16,10,12,5,14,9,15,14
258,13,13,2,13,,4,6,12,6,14,10,1,5,1,2
259,11,11,1,9,13,1,1,2,1,5,12,3,4,8,1
260,3,3,4,11,1,2,5,7,2,3,3,12,6,3,3
261,12,15,12,14,14,16,8,13,13,15,9,2,11,9,11
262,4,4,3,3,3,5,2,3,3,13,4,13,1,6,4
263,9,9,11,12,11,10,9,8,9,4,8,8,12,10,12
264,7,6,7,6,7,7,3,5,4,6,13,4,2,4,5
265,15,14,9,10,,8,12,10,11,9,15,6,10,11,10
266,10,12,5,15,5,3,4,4,5,10,6,11,3,7,6
267,8,10,10,7,10,11,11,14,14,7,11,7,14,14,8
268,2,2,14,2,8,9,15,6,15,2,2,10,15,2,13
269,14,8,13,8,12,15,14,15,12,11,14,9,13,13,15
