Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
210,6,9,12,15,2,12,14,12,12,15,14,11,10,12,15
211,1,2,1,5,8,2,1,1,1,2,12,2,4,2,2
212,13,11,11,12,6,5,15,11,9,9,9,9,11,9,11
213,8,6,3,3,12,9,2,6,8,5,8,6,6,11,9
214,2,1,2,6,7,3,3,2,2,3,13,3,3,3,3
215,15,7,10,14,5,11,4,10,11,11,11,5,5,13,10
216,4,3,4,7,4,1,10,3,7,1,15,1,1,1,1
217,14,4,9,9,11,6,5,7,5,8,10,8,2,7,6
218,7,5,5,4,9,10,6,9,10,10,4,12,7,10,5
219,3,8,6,11,10,14,7,14,13,13,1,,8,4,4
220,12,10,13,13,15,13,11,13,14,14,2,13,12,14,13
221,5,15,8,1,1,15,8,15,15,12,3,14,15,5,7
222,10,12,14,10,14,8,12,5,4,7,5,10,9,15,14
223,11,14,15,8,13,7,13,8,6,6,6,7,13,6,12
224,9,13,7,2,3,4,9,4,3,4,7,4,14,8,8
