Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
135,6,13,2,14,9,10,8,8,7,15,10,11,7,1,12
136,14,5,14,5,,11,14,14,5,4,6,4,4,8,6
137,8,9,4,11,,6,15,5,8,6,8,7,3,4,8
138,9,4,9,6,2,8,12,9,3,8,12,13,12,10,2
139,5,15,1,13,13,9,13,1,14,13,14,10,13,14,14
140,7,12,11,3,10,13,7,13,13,10,13,9,14,11,11
141,3,2,12,15,3,12,3,11,15,3,3,2,5,9,3
142,2,3,8,2,4,3,2,7,4,2,2,3,2,3,4
143,13,14,3,10,12,5,6,3,9,12,9,14,10,5,15
144,1,1,7,1,1,1,1,6,6,1,1,1,1,2,1
145,4,11,6,8,11,7,11,2,10,14,11,12,15,15,13
146,15,6,13,12,5,15,10,15,12,5,5,15,8,12,9
147,10,10,10,7,8,4,4,10,2,11,7,6,11,13,10
148,12,8,5,9,7,2,9,4,1,7,4,5,6,7,7
149,11,7,15,4,6,14,5,12,11,9,15,8,9,6,5
