Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
0,9,4,4,5,4,3,4,3,8,2,4,2,3,1,6
1,1,2,2,2,13,2,5,2,4,1,2,9,8,10,14
2,2,7,12,13,10,15,8,10,13,15,15,10,7,2,10
3,7,1,1,1,1,1,7,1,2,13,1,7,1,13,1
4,16,15,15,15,14,9,13,15,14,10,9,14,15,14,15
5,13,9,11,8,15,8,14,14,15,12,14,13,13,12,12
6,3,3,3,4,2,4,6,4,9,4,5,3,6,3,8
7,10,12,5,9,3,14,9,9,7,7,11,4,10,6,9
8,11,6,9,6,6,13,10,11,12,9,8,11,11,11,5
9,4,11,13,11,11,11,3,7,1,3,13,8,4,7,7
10,8,8,6,3,5,5,1,6,3,14,3,1,5,4,2
11,15,10,14,7,12,7,15,13,10,11,7,15,14,15,13
12,6,5,7,10,7,6,2,5,5,8,6,5,9,5,3
13,5,13,10,12,8,10,12,12,6,5,12,12,12,8,11
14,12,14,8,14,9,12,11,8,11,6,10,6,2,9,4
