Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
105,2,11,13,7,11,2,,10,2,9,2,13,8,3,15
106,5,13,12,1,7,1,,15,1,6,6,14,15,2,7
107,13,10,4,8,10,7,,7,8,12,10,11,7,10,4
108,14,12,11,2,9,3,,14,3,8,15,15,13,14,12
109,11,7,1,12,14,9,,12,6,10,11,8,10,8,13
110,1,5,10,5,3,6,2,3,13,3,14,2,2,1,5
111,7,3,7,6,2,12,1,2,14,1,5,6,3,13,2
112,6,15,14,3,8,4,,13,4,7,8,7,14,6,14
113,12,2,8,15,5,5,6,4,10,4,1,4,1,4,6
114,8,9,3,9,13,8,,8,7,13,13,9,11,12,11
115,3,8,2,13,12,14,,9,11,14,12,12,9,15,8
116,10,14,5,11,15,13,,11,9,11,9,10,12,9,10
117,9,6,9,14,4,10,3,5,12,2,3,5,5,11,9
118,15,4,15,10,6,15,5,6,15,15,7,3,6,5,3
119,4,1,6,4,1,11,4,1,5,5,4,1,4,7,1
