Candidate,Shuffle0_Trial0,Shuffle0_Trial1,Shuffle0_Trial2,Shuffle0_Trial3,Shuffle0_Trial4,Shuffle1_Trial0,Shuffle1_Trial1,Shuffle1_Trial2,Shuffle1_Trial3,Shuffle1_Trial4,Shuffle2_Trial0,Shuffle2_Trial1,Shuffle2_Trial2,Shuffle2_Trial3,Shuffle2_Trial4
225,8,14,12,12,8,10,11,8,7,13,13,3,5,1,2
226,15,8,15,13,5,15,14,15,13,15,15,7,11,15,14
227,14,7,2,15,14,14,13,16,14,14,14,15,13,14,13
228,4,4,14,11,4,9,1,14,11,10,6,9,12,5,12
229,11,9,8,10,12,4,7,4,4,11,2,5,8,4,7
230,5,5,13,7,3,6,2,2,5,4,5,1,3,2,3
231,2,2,1,2,2,7,12,1,6,7,1,2,2,3,9
232,7,3,11,3,11,12,4,13,3,3,4,10,10,7,8
233,12,15,7,9,15,1,9,3,1,1,11,12,6,6,5
234,6,10,3,4,13,5,5,5,8,9,8,6,7,11,1
235,10,12,10,6,10,3,6,9,9,8,12,13,14,12,10
236,13,11,6,5,7,8,8,12,10,12,10,8,9,8,6
237,3,6,5,14,6,13,10,10,15,6,9,14,4,13,
238,1,1,9,1,1,11,15,7,12,5,7,4,1,9,11
239,9,13,4,8,9,2,3,6,2,2,3,11,15,10,4
